Model	Del𝑟	s	VHF	magnitude of VHF	dipole tilt	g30/g10
1	0	0	-	-	2.9103	-0.0206
2	0.31	0.15	-	-	1.0894	-0.0351
3	0.31	0.3	-	-	1.0193	-0.0329
4	0.31	0.45	-	-	1.008	-0.0294
5	0.31	0.6	-	-	1.0218	-0.0263
6	0.31	0.75	-	-	1.282	-0.0259
7	0.31	0.9	-	-	1.2945	-0.0242
8	0.31	1.05	-	-	0.9757	-0.0238
9	0.31	1.2	-	-	1.1966	-0.0222
10	0.31	1.35	-	-	1.1325	-0.0224
11	0.31	1.5	-	-	0.8313	-0.0222
12	0.46	0.15	-	-	0.8176	-0.0213
13	0.46	0.3	-	-	0.7903	-0.0169
14	0.46	0.45	-	-	0.9595	-0.0156
15	0.46	0.6	-	-	1.1340	-0.015
16	0.46	0.75	-	-	0.7030	-0.0146
17	0.46	0.9	-	-	0.8798	-0.0139
18	0.46	1.05	-	-	0.9351	-0.0136
19	0.46	1.2	-	-	0.7418	-0.0145
20	0.46	1.35	-	-	1.0134	-0.0126
21	0.46	1.5	-	-	0.7534	-0.0132
22	0.62	0.15	-	-	0.8241	-0.0044
23	0.62	0.3	-	-	0.7176	-0.0043
24	0.62	0.45	-	-	0.2171	-0.0012
Add Y20 VHF pattern to different stable layer models
25	0.31	1.5	Y20     0.1	0.9833	-0.0197
26	0.31	1.5	Y20	0.3	1.3750	0.0026
27	0.31	1.5	Y20     0.5	0.9890	0.0102
28	0.31	1.5	Y20	0.7	0.8105	0.0068
29	0.31	1.5	Y20      1	1.1068	0.0175
30	0.31	1.5	Y20	1.3	1.0666	0.0275
31	0.31	1.5	Y20     1.5	0.9879	0.0335
32	0.31	1.5	Y20	1.8	0.9124	0.0394
33	0.31	1.5	Y20	2	0.7991	0.0452
34	0.31	1.5	Y20	2.3	1.0412	0.0504
35	0.31	1.5	Y20	2.5	0.7921	0.0521
36	0.31	0.3	Y20	0.1	1.1408	-0.0199
37	0.31	0.3	Y20	0.3	1.5520	0.0038
38	0.31	0.3	Y20	0.5	1.6135	0.0213
39	0.31	0.3	Y20	0.7	4.9380	0.0619
40	0.31	0.3	Y20	1	2.2039	0.2103
41	0.31	0.3	Y20	1.3	3.1036	0.2188
42	0.46	1.5	Y20	0.1	0.8534	-0.0084
43	0.46	1.5	Y20	0.3	1.6025	0.0173
44	0.46	1.5	Y20	0.5	0.7540	0.0111
45	0.46	1.5	Y20	0.7	0.2327	0.0053
46	0.46	1.5	Y20	1	0.1015	0.0052
47	0.46	1.5	Y20	1.3	0.1092	0.0106
48	0.46	1.5	Y20	1.5	0.1044	0.0160
49	0.46	1.5	Y20	2	0.1104	0.0237
50	0.62	0.3	Y20	0.1	0.7225	0.0127
51	0.62	0.3	Y20	0.3	0.3537	0.0386
52	0.62	0.3	Y20	0.5	0.0852	0.0136
53	0.62	0.3	Y20	0.7	0.0495	0.0246
54	0.62	0.3	Y20	1	0.0475	0.0455
55	0.62	0.3	Y20	1.3	0.0505	0.0597
56	0.62	0.3	Y20	1.5	0.0613	0.0666
57	0.62	0.3	Y20	1.8	0.0785	0.0751
58	0.62	0.3	Y20	2	0.0815	0.0795
59	0.62	0.3	Y20	2.3	0.0930	0.0874
