Degree  model 0 at 0.55R_S model 0 at 0.85R_S	Model 1	Model 2	Model 3
1	1	1	1	1	1
2	0.0034	0.0085	5.38e-05	0.0137	0.0069
3	0.0018	0.0111	0.0028	0.0277	0.0239
4	0.0005	0.0074	2.14e-05	0.0002	0.0006
5	0.0002	0.0078	0.0003	0.0006	0.0002
6	5.47 e-05	0.0053	3.84e-06	3.90e-06	3.80e-06
7	1.62e-05	0.0040	1.89e-05	4.19e-06	1.37e-05
8	4.59e-06	0.0028	2.10e-06	2.07e-06	1.23e-06
9	1.35e-06	0.0021	1.87e-06	9.32e-07	2.42e-06
10	3.68e-07	0.0014	9.67e-07	4.16e-07	3.65e-07
11	1.06e-07	0.0010	1.16e-06	2.05e-07	2.18e-07
12	2.88e-08	0.0007	4.57e-07	7.30e-08	8.65e-08
13	9.13e-09	0.0005	2.85e-07	2.10e-08	3.42e-08
14	2.32e-09	0.0004	1.69e-07	7.47e-09	9.38e-09

